tid,cid,pid,q
18,918,661,2
18,918,677,2
18,918,796,1
18,918,826,1
18,918,894,1
19,285,15,1
19,285,60,1
19,285,121,1
19,285,183,1
19,285,326,3
19,285,389,1
19,285,414,1
19,285,596,1
19,285,615,3
19,285,661,1
19,285,668,1
19,285,692,1
19,285,709,1
19,285,794,1
19,285,822,2
20,614,75,2
20,614,86,2
20,614,148,2
20,614,180,1
20,614,189,1
20,614,238,1
20,614,296,1
20,614,297,1
20,614,407,2
20,614,414,1
20,614,459,2
20,614,507,2
20,614,557,1
20,614,563,1
20,614,614,1
20,614,666,1
20,614,695,1
20,614,707,3
20,614,776,3
20,614,795,3
21,314,249,2
21,314,257,1
21,314,277,2
21,314,301,3
21,314,302,2
21,314,307,2
21,314,516,1
21,314,540,1
21,314,577,2
21,314,626,2
21,314,664,2
21,314,774,1
21,314,892,2
21,314,966,2
22,173,94,1
22,173,165,1
22,173,187,3
22,173,243,1
22,173,269,2
22,173,357,2
22,173,378,1
22,173,443,1
22,173,459,2
22,173,490,1
22,173,569,1
22,173,619,2
22,173,620,1
22,173,647,2
22,173,675,1
22,173,677,2
22,173,730,1
22,173,758,3
22,173,759,4
22,173,861,2
22,173,899,2
22,173,920,1
22,173,990,1
22,173,997,1
23,323,88,1
23,323,128,1
23,323,197,3
23,323,201,1
23,323,202,3
23,323,233,2
23,323,295,2
23,323,383,2
23,323,439,1
23,323,461,1
23,323,546,3
23,323,564,1
23,323,750,1
23,323,793,3
23,323,1000,1
24,598,6,2
24,598,35,1
24,598,42,2
24,598,62,2
24,598,171,3
24,598,181,1
24,598,183,1
24,598,199,1
24,598,222,1
24,598,230,1
24,598,327,2
24,598,383,1
24,598,438,1
24,598,477,1
24,598,504,1
24,598,560,2
24,598,584,3
24,598,674,2
24,598,797,2
24,598,837,2
24,598,871,1
24,598,972,1
24,598,977,2
25,988,38,2
25,988,39,1
25,988,75,2
25,988,283,1
25,988,320,3
25,988,361,2
25,988,363,1
25,988,453,2
25,988,465,1
25,988,480,2
25,988,493,1
25,988,497,4
25,988,522,3
25,988,584,1
25,988,593,3
25,988,675,4
25,988,676,3
25,988,679,4
25,988,700,3
25,988,781,2
25,988,805,2
25,988,813,1
25,988,830,3
25,988,916,1
26,682,15,1
26,682,95,2
26,682,134,3
26,682,170,2
26,682,185,1
26,682,295,1
26,682,307,1
26,682,320,2
26,682,345,3
26,682,486,1
26,682,545,2
26,682,611,1
26,682,613,1
26,682,619,1
26,682,651,2
26,682,661,1
26,682,754,1
26,682,827,2
26,682,868,1
26,682,890,3
26,682,892,2
26,682,910,2
26,682,992,1
27,346,74,1
27,346,79,4
27,346,90,1
27,346,134,2
27,346,195,1
27,346,236,1
27,346,240,2
27,346,277,1
27,346,284,2
27,346,314,1
27,346,376,2
27,346,386,1
27,346,396,1
27,346,463,1
27,346,498,2
27,346,576,2
27,346,598,1
27,346,620,1
27,346,623,1
27,346,636,1
27,346,642,3
27,346,705,1
27,346,746,6
27,346,811,2
27,346,986,3
27,346,997,1
28,900,37,1
28,900,81,1
28,900,85,1
28,900,144,1
28,900,149,1
28,900,288,2
28,900,318,1
28,900,350,1
28,900,377,3
28,900,416,1
28,900,427,1
28,900,441,2
28,900,521,2
28,900,558,2
28,900,601,2
28,900,724,2
28,900,784,1
28,900,896,2
28,900,920,1
28,900,928,2
28,900,972,2
28,900,1000,3
29,839,50,1
29,839,148,2
29,839,235,1
29,839,302,2
29,839,331,2
29,839,335,1
29,839,385,1
29,839,405,1
29,839,422,1
29,839,497,1
29,839,517,1
29,839,522,1
29,839,564,2
29,839,600,2
29,839,618,2
29,839,648,1
29,839,758,1
29,839,772,1
29,839,791,1
29,839,862,2
29,839,872,4
29,839,918,1
29,839,924,1
29,839,927,2
29,839,985,1
30,692,19,1
30,692,68,1
30,692,73,2
30,692,96,1
30,692,188,1
30,692,258,2
30,692,343,2
30,692,354,4
30,692,366,1
30,692,383,2
30,692,386,2
30,692,476,2
30,692,551,2
30,692,561,2
30,692,649,1
30,692,685,2
30,692,737,2
30,692,782,1
30,692,896,2
31,1000,10,1
31,1000,21,1
31,1000,27,2
31,1000,37,1
31,1000,38,1
31,1000,49,1
31,1000,78,1
31,1000,115,4
31,1000,217,1
31,1000,265,2
31,1000,358,1
31,1000,386,1
31,1000,387,1
31,1000,489,1
31,1000,568,1
31,1000,604,2
31,1000,707,1
31,1000,784,3
31,1000,795,2
32,616,72,1
32,616,124,2
32,616,196,1
32,616,241,1
32,616,277,3
32,616,333,2
32,616,338,2
32,616,385,1
32,616,437,2
32,616,546,1
32,616,547,2
32,616,600,2
32,616,690,1
32,616,779,1
32,616,845,1
32,616,886,2
32,616,929,2
33,811,116,1
33,811,169,1
33,811,217,1
33,811,376,1
33,811,488,3
33,811,569,2
33,811,711,1
33,811,722,1
33,811,827,1
33,811,902,2
33,811,974,1
33,811,993,3
34,662,7,1
34,662,31,1
34,662,123,3
34,662,193,1
34,662,233,1
34,662,271,2
34,662,316,1
34,662,322,1
34,662,423,2
34,662,444,1
34,662,445,1
34,662,542,2
34,662,566,1
34,662,622,2
34,662,657,1
34,662,669,1
34,662,717,1
35,983,39,2
35,983,56,1
35,983,64,1
35,983,90,1
35,983,126,1
35,983,156,4
35,983,189,3
35,983,258,3
35,983,280,2
35,983,330,2
35,983,372,1
35,983,402,2
35,983,466,2
35,983,472,1
35,983,490,1
35,983,530,3
35,983,595,2
35,983,615,2
35,983,742,1
35,983,785,1
35,983,917,1
35,983,981,2
35,983,988,1
36,829,277,1
36,829,281,1
36,829,291,1
36,829,423,2
36,829,474,1
36,829,499,1
36,829,539,1
36,829,543,2
36,829,572,1
36,829,669,1
36,829,723,1
36,829,776,3
36,829,780,1
36,829,806,2
36,829,808,1
36,829,826,1
36,829,830,2
36,829,867,3
36,829,874,1
36,829,879,2
37,70,105,1
37,70,106,2
37,70,222,2
37,70,241,2
37,70,260,1
37,70,310,1
37,70,346,1
37,70,389,1
37,70,571,1
37,70,664,3
37,70,766,1
37,70,865,2
37,70,875,4
37,70,927,1
38,619,27,2
38,619,41,1
38,619,65,1
38,619,67,1
38,619,87,3
38,619,122,2
38,619,162,2
38,619,206,1
38,619,215,2
38,619,223,2
38,619,264,2
38,619,489,1
38,619,575,1
38,619,864,1
38,619,878,1
38,619,896,3
38,619,960,1
39,308,133,1
39,308,209,3
39,308,225,1
39,308,271,2
39,308,337,2
39,308,437,1
39,308,457,2
39,308,472,2
39,308,488,1
39,308,932,1
39,308,958,3
40,111,7,2
40,111,60,1
40,111,231,1
40,111,305,2
40,111,322,2
40,111,401,1
40,111,425,1
40,111,466,1
40,111,491,1
40,111,493,1
40,111,500,1
40,111,528,1
40,111,646,3
40,111,712,1
40,111,746,3
40,111,927,2
41,569,85,1
41,569,111,2
41,569,185,2
41,569,191,1
41,569,226,2
41,569,280,1
41,569,402,1
41,569,465,1
41,569,519,2
41,569,649,3
41,569,668,2
41,569,690,2
41,569,701,1
41,569,749,1
41,569,863,1
41,569,971,1
41,569,973,2
42,5,73,2
42,5,124,1
42,5,232,1
42,5,238,3
42,5,253,1
42,5,288,3
42,5,302,3
42,5,340,2
42,5,386,2
42,5,426,1
42,5,445,1
42,5,459,1
42,5,522,3
42,5,564,3
42,5,622,1
42,5,640,1
42,5,647,3
42,5,675,1
42,5,790,2
42,5,794,2
42,5,925,1
42,5,928,1
43,565,31,1
43,565,80,2
43,565,107,1
43,565,132,1
43,565,165,2
43,565,178,2
43,565,213,1
43,565,225,2
43,565,311,1
43,565,330,1
43,565,422,1
43,565,430,1
43,565,447,3
43,565,478,2
43,565,489,3
43,565,518,1
43,565,622,1
43,565,626,1
43,565,721,2
43,565,754,2
43,565,800,2
43,565,938,2
44,982,37,2
44,982,123,3
44,982,245,1
44,982,258,2
44,982,381,1
44,982,447,2
44,982,500,1
44,982,600,3
44,982,609,2
44,982,669,3
44,982,691,3
44,982,705,2
44,982,722,1
44,982,791,1
45,520,47,2
45,520,100,1
45,520,190,3
45,520,197,1
45,520,258,1
45,520,261,2
45,520,314,1
45,520,315,1
45,520,331,3
45,520,358,2
45,520,386,3
45,520,393,1
45,520,406,3
45,520,441,1
45,520,560,2
45,520,574,2
45,520,580,2
45,520,581,1
45,520,661,1
45,520,672,1
45,520,676,2
45,520,833,1
45,520,847,3
45,520,917,1
45,520,953,2
45,520,993,1
46,653,271,1
46,653,274,2
46,653,314,2
46,653,325,3
46,653,355,1
46,653,414,2
46,653,477,1
46,653,486,1
46,653,530,2
46,653,534,2
46,653,556,3
46,653,590,2
46,653,603,1
46,653,611,1
46,653,653,1
46,653,707,1
46,653,711,2
46,653,713,1
46,653,776,2
46,653,804,1
46,653,822,1
46,653,892,1
46,653,905,1
47,325,186,2
47,325,196,1
47,325,271,1
47,325,336,2
47,325,343,1
47,325,355,3
47,325,374,1
47,325,417,3
47,325,421,1
47,325,436,1
47,325,456,1
47,325,687,2
47,325,781,1
47,325,912,2
47,325,957,3
48,930,29,1
48,930,31,2
48,930,51,1
48,930,105,1
48,930,148,2
48,930,165,2
48,930,223,2
48,930,250,1
48,930,252,2
48,930,253,1
48,930,260,2
48,930,267,2
48,930,297,3
48,930,387,1
48,930,537,1
48,930,664,2
48,930,789,1
48,930,903,2
48,930,926,1
48,930,930,1
49,438,19,1
49,438,36,1
49,438,123,2
49,438,304,2
49,438,311,1
49,438,378,1
49,438,388,1
49,438,404,2
49,438,409,1
49,438,419,1
49,438,441,3
49,438,571,1
49,438,637,4
49,438,726,2
49,438,734,1
49,438,749,1
49,438,793,2
49,438,882,1
49,438,899,2
49,438,910,2
49,438,970,2
50,259,106,1
50,259,118,1
50,259,236,4
50,259,262,1
50,259,291,2
50,259,300,2
50,259,381,2
50,259,439,1
50,259,442,1
50,259,477,2
50,259,517,3
50,259,546,1
50,259,601,1
50,259,654,1
50,259,730,2
50,259,769,3
50,259,814,1
50,259,845,1
50,259,960,2
50,259,999,1
51,26,59,1
51,26,237,1
51,26,427,2
51,26,430,2
51,26,506,1
51,26,547,1
51,26,722,3
51,26,772,1
51,26,979,2
52,112,58,2
52,112,77,2
52,112,87,2
52,112,206,2
52,112,229,1
52,112,308,1
52,112,325,1
52,112,383,2
52,112,410,3
52,112,422,1
52,112,447,1
52,112,511,3
52,112,654,1
52,112,674,1
52,112,724,1
52,112,733,2
52,112,773,1
52,112,866,2
52,112,915,1
52,112,926,1
52,112,940,1
53,681,13,2
53,681,42,2
53,681,50,2
53,681,66,2
53,681,116,1
53,681,180,1
53,681,430,1
53,681,447,3
53,681,460,2
53,681,500,1
53,681,559,1
53,681,564,1
53,681,685,5
53,681,695,1
53,681,761,3
53,681,845,2
53,681,878,1
53,681,972,1
54,508,53,1
54,508,139,1
54,508,149,2
54,508,216,1
54,508,258,2
54,508,268,2
54,508,279,2
54,508,363,1
54,508,391,1
54,508,404,2
54,508,528,1
54,508,546,3
54,508,622,3
54,508,656,1
54,508,722,1
54,508,874,2
54,508,888,2
54,508,917,2
54,508,959,1
55,843,6,2
55,843,35,3
55,843,40,1
55,843,60,3
55,843,179,2
55,843,236,1
55,843,317,2
55,843,708,2
55,843,900,2
56,166,1,1
56,166,88,1
56,166,155,2
56,166,196,2
56,166,496,2
56,166,499,1
56,166,620,2
57,740,72,4
57,740,87,2
57,740,107,2
57,740,136,3
57,740,176,1
57,740,201,1
57,740,236,1
57,740,388,1
57,740,402,1
57,740,442,1
57,740,565,2
57,740,615,1
57,740,632,1
57,740,660,1
57,740,667,2
57,740,688,3
57,740,723,2
57,740,742,1
57,740,824,1
57,740,839,2
57,740,876,3
57,740,914,1
57,740,945,1
57,740,997,1
58,767,53,2
58,767,131,2
58,767,134,1
58,767,185,1
58,767,227,2
58,767,258,1
58,767,274,1
58,767,296,1
58,767,412,2
58,767,556,1
58,767,578,2
58,767,720,1
58,767,943,2
58,767,954,1
59,318,468,2
59,318,481,1
59,318,485,2
59,318,488,2
59,318,576,1
59,318,734,2
59,318,792,4
59,318,810,1
59,318,838,1
59,318,918,3
60,711,45,2
60,711,94,3
60,711,143,2
60,711,162,1
60,711,216,3
60,711,280,2
60,711,300,2
60,711,388,2
60,711,437,4
60,711,476,3
60,711,543,1
60,711,884,3
60,711,974,1
61,925,7,2
61,925,39,4
61,925,114,3
61,925,177,1
61,925,219,1
61,925,264,2
61,925,279,3
61,925,290,1
61,925,322,4
61,925,331,1
61,925,395,1
61,925,415,3
61,925,474,1
61,925,540,1
61,925,694,2
61,925,768,1
62,991,132,5
62,991,182,2
62,991,344,3
62,991,359,2
62,991,382,2
62,991,426,2
62,991,600,2
62,991,617,2
62,991,701,2
62,991,706,2
62,991,707,2
62,991,710,2
62,991,802,2
62,991,910,2
62,991,918,3
62,991,925,2
62,991,964,1
62,991,974,1
62,991,985,2
63,959,5,2
63,959,60,3
63,959,94,2
63,959,154,1
63,959,192,2
63,959,217,2
63,959,440,1
63,959,443,1
63,959,488,1
63,959,552,1
63,959,651,2
63,959,661,1
63,959,698,1
63,959,831,1
63,959,939,3
63,959,979,2
64,511,161,2
64,511,179,2
64,511,206,1
64,511,228,1
64,511,284,2
64,511,374,1
64,511,389,2
64,511,423,2
64,511,477,2
64,511,567,1
64,511,707,2
64,511,812,1
64,511,897,2
64,511,902,1
64,511,964,4
64,511,993,1
65,716,69,2
65,716,163,2
65,716,196,2
65,716,213,5
65,716,224,2
65,716,226,1
65,716,238,2
65,716,275,1
65,716,279,3
65,716,427,2
65,716,465,1
65,716,661,1
65,716,677,2
65,716,700,3
65,716,711,1
65,716,712,1
65,716,836,2
65,716,855,1
66,8,37,2
66,8,49,1
66,8,73,4
66,8,113,1
66,8,139,1
66,8,182,2
66,8,448,1
66,8,489,1
66,8,603,2
66,8,713,2
66,8,775,1
66,8,834,1
66,8,918,2
66,8,949,2
66,8,973,3
66,8,992,1
66,8,997,3
67,105,37,2
67,105,85,1
67,105,148,1
67,105,181,1
67,105,283,1
67,105,344,2
67,105,345,2
67,105,362,2
67,105,375,1
67,105,380,1
67,105,455,3
67,105,463,1
67,105,489,1
67,105,490,3
67,105,551,2
67,105,573,2
67,105,703,3
67,105,705,3
67,105,769,1
67,105,775,1
67,105,800,1
67,105,806,1
67,105,829,2
67,105,851,1
68,442,211,2
68,442,430,1
68,442,448,2
68,442,470,3
68,442,483,1
68,442,551,1
68,442,589,2
68,442,684,2
68,442,776,1
68,442,808,2
69,824,1,1
69,824,88,3
69,824,144,2
69,824,149,1
69,824,202,1
69,824,294,2
69,824,310,1
69,824,380,1
69,824,462,1
69,824,466,1
69,824,577,1
69,824,586,1
69,824,659,2
69,824,716,1
69,824,801,4
69,824,812,1
69,824,813,2
69,824,853,3
69,824,879,2
70,139,147,1
70,139,187,2
70,139,259,1
70,139,290,1
70,139,389,1
70,139,420,1
70,139,481,2
70,139,539,2
70,139,556,1
70,139,619,2
70,139,632,2
70,139,680,1
70,139,698,1
70,139,717,2
70,139,782,1
70,139,936,1
70,139,954,4
71,548,35,1
71,548,83,2
71,548,138,1
71,548,214,1
71,548,250,1
71,548,289,1
71,548,358,1
71,548,366,1
71,548,429,1
71,548,477,3
71,548,642,1
71,548,851,1
71,548,853,1
71,548,890,2
72,474,148,1
72,474,169,1
72,474,202,2
72,474,296,1
72,474,320,1
72,474,399,1
72,474,403,4
72,474,546,1
72,474,681,3
72,474,697,1
72,474,786,1
72,474,830,2
73,720,5,1
73,720,29,1
73,720,272,2
73,720,273,1
73,720,367,2
73,720,369,2
73,720,513,1
73,720,575,1
73,720,706,2
73,720,879,2
73,720,896,2
73,720,987,1
74,710,26,2
74,710,62,1
74,710,234,1
74,710,268,1
74,710,427,2
74,710,553,2
74,710,574,1
74,710,608,1
74,710,610,2
74,710,630,1
74,710,656,1
74,710,772,1
74,710,915,1
74,710,920,2
75,199,72,1
75,199,138,1
75,199,140,2
75,199,156,1
75,199,249,1
75,199,283,3
75,199,332,1
75,199,336,3
75,199,412,1
75,199,439,1
75,199,493,2
75,199,531,2
75,199,533,1
75,199,584,2
75,199,989,3
76,752,74,1
76,752,204,2
76,752,305,4
76,752,332,2
76,752,381,2
76,752,384,1
76,752,722,3
76,752,742,1
76,752,761,2
76,752,786,1
76,752,818,1
76,752,825,2
76,752,951,2
77,316,49,2
77,316,50,2
77,316,73,2
77,316,106,2
77,316,109,1
77,316,128,3
77,316,131,1
77,316,169,2
77,316,170,1
77,316,178,1
77,316,253,2
77,316,345,2
77,316,387,3
77,316,459,1
77,316,517,2
77,316,571,3
77,316,594,2
77,316,609,2
77,316,642,2
77,316,661,2
77,316,711,2
77,316,733,1
77,316,789,1
77,316,918,1
77,316,924,2
77,316,946,1
77,316,967,1
77,316,989,2
78,543,43,2
78,543,93,2
78,543,127,1
78,543,206,1
78,543,264,2
78,543,278,2
78,543,344,2
78,543,358,1
78,543,375,1
78,543,496,4
78,543,519,1
78,543,538,3
78,543,584,1
78,543,586,1
78,543,689,2
78,543,704,2
78,543,716,2
78,543,775,3
78,543,854,1
78,543,992,2
79,577,38,3
79,577,60,1
79,577,61,1
79,577,71,2
79,577,222,2
79,577,260,1
79,577,310,2
79,577,383,1
79,577,422,1
79,577,457,2
79,577,462,1
79,577,551,3
79,577,660,2
79,577,698,1
79,577,779,1
79,577,795,1
79,577,896,2
80,202,17,2
80,202,24,1
80,202,36,2
80,202,73,1
80,202,75,2
80,202,88,1
80,202,116,2
80,202,134,2
80,202,144,2
80,202,165,2
80,202,170,3
80,202,180,3
80,202,189,1
80,202,227,2
80,202,308,3
80,202,362,1
80,202,390,2
80,202,408,1
80,202,522,2
80,202,596,2
80,202,601,1
80,202,615,2
80,202,628,1
80,202,775,3
80,202,900,1
80,202,983,1
81,582,84,1
81,582,87,1
81,582,134,2
81,582,202,1
81,582,239,2
81,582,280,3
81,582,388,2
81,582,410,1
81,582,447,6
81,582,492,1
81,582,537,2
81,582,569,2
81,582,602,2
81,582,624,1
81,582,726,1
81,582,797,1
81,582,804,2
81,582,823,1
82,84,336,3
82,84,407,3
82,84,462,1
82,84,539,2
82,84,586,1
82,84,596,2
82,84,713,1
83,256,1,1
83,256,15,1
83,256,58,1
83,256,192,1
83,256,295,1
83,256,333,2
83,256,363,1
83,256,520,2
83,256,574,2
83,256,647,2
83,256,663,1
83,256,776,1
84,481,192,3
84,481,193,2
84,481,260,2
84,481,272,1
84,481,333,1
84,481,341,1
84,481,376,2
84,481,388,1
84,481,504,3
84,481,526,5
84,481,545,2
84,481,556,1
84,481,608,2
84,481,615,2
84,481,637,2
84,481,705,1
84,481,714,1
84,481,782,2
84,481,830,1
84,481,856,2
84,481,920,2
84,481,928,2
84,481,941,1
85,788,21,1
85,788,35,1
85,788,60,1
85,788,69,2
85,788,156,1
85,788,234,2
85,788,361,1
85,788,371,2
85,788,485,1
85,788,572,1
85,788,602,1
85,788,797,2
85,788,810,1
85,788,812,2
85,788,826,6
85,788,896,1
86,339,34,1
86,339,38,2
86,339,50,1
86,339,88,3
86,339,116,2
86,339,213,1
86,339,231,1
86,339,289,1
86,339,290,1
86,339,304,1
86,339,307,2
86,339,388,1
86,339,416,3
86,339,470,3
86,339,544,3
86,339,558,2
86,339,620,1
86,339,648,3
86,339,664,1
86,339,686,2
86,339,695,1
86,339,768,2
86,339,771,2
86,339,938,2
86,339,942,2
86,339,979,1
86,339,983,2
86,339,987,2
87,629,59,1
87,629,123,1
87,629,181,2
87,629,303,2
87,629,673,1
87,629,689,1
87,629,701,1
87,629,716,1
87,629,727,1
87,629,814,2
88,909,92,1
88,909,139,1
88,909,241,1
88,909,429,2
88,909,465,1
88,909,676,2
88,909,733,3
88,909,779,1
88,909,820,1
88,909,925,2
88,909,933,1
88,909,954,2
89,427,60,1
89,427,62,2
89,427,85,3
89,427,117,2
89,427,216,2
89,427,297,3
89,427,315,1
89,427,383,1
89,427,396,1
89,427,433,1
89,427,454,3
89,427,490,3
89,427,496,3
89,427,508,2
89,427,516,2
89,427,557,1
89,427,644,1
89,427,722,2
89,427,726,3
89,427,815,3
89,427,918,3
89,427,954,3
90,309,58,1
90,309,264,1
90,309,359,1
90,309,471,1
90,309,474,1
90,309,506,1
90,309,691,1
90,309,721,2
90,309,733,1
90,309,850,2
90,309,874,1
90,309,900,2
90,309,928,4
90,309,935,2
90,309,958,3
91,790,47,3
91,790,62,1
91,790,206,3
91,790,255,1
91,790,264,1
91,790,296,1
91,790,375,1
91,790,406,1
91,790,465,2
91,790,496,1
91,790,544,1
91,790,595,1
91,790,667,1
91,790,676,1
91,790,855,1
91,790,915,2
92,198,26,1
92,198,42,1
92,198,71,2
92,198,89,4
92,198,96,1
92,198,107,4
92,198,148,1
92,198,154,2
92,198,268,1
92,198,284,2
92,198,310,1
92,198,498,2
92,198,510,3
92,198,560,2
92,198,663,1
92,198,711,2
92,198,765,2
92,198,772,1
92,198,773,4
92,198,847,2
92,198,848,1
92,198,936,1
93,136,29,3
93,136,83,1
93,136,96,1
93,136,193,3
93,136,238,2
93,136,278,2
93,136,332,3
93,136,354,2
93,136,384,4
93,136,393,4
93,136,426,2
93,136,451,2
93,136,486,2
93,136,520,3
93,136,526,1
93,136,536,2
93,136,539,1
93,136,545,3
93,136,651,1
93,136,654,3
93,136,663,1
93,136,776,2
93,136,867,2
93,136,874,1
94,334,48,2
94,334,72,1
94,334,117,1
94,334,205,2
94,334,217,3
94,334,268,3
94,334,296,1
94,334,297,1
94,334,381,1
94,334,391,2
94,334,472,3
94,334,519,1
94,334,669,1
94,334,914,1
94,334,959,1
94,334,979,1
95,280,12,1
95,280,22,2
95,280,35,2
95,280,75,2
95,280,100,2
95,280,123,4
95,280,179,1
95,280,185,2
95,280,192,2
95,280,261,2
95,280,280,3
95,280,297,2
95,280,311,1
95,280,388,2
95,280,432,2
95,280,459,2
95,280,563,1
95,280,618,1
95,280,733,1
95,280,781,2
95,280,791,3
95,280,820,1
95,280,931,1
96,996,23,1
96,996,149,1
96,996,180,1
96,996,215,1
96,996,515,3
96,996,576,1
96,996,763,3
96,996,924,1
97,948,53,2
97,948,296,1
97,948,423,1
97,948,455,2
97,948,492,1
97,948,687,3
97,948,697,1
97,948,925,1
97,948,990,1
98,805,34,1
98,805,116,1
98,805,268,1
98,805,333,3
98,805,358,2
98,805,438,1
98,805,466,2
98,805,517,3
98,805,577,3
98,805,678,1
98,805,703,1
98,805,712,1
98,805,717,2
98,805,892,1
98,805,895,2
98,805,924,2
98,805,935,1
98,805,941,1
98,805,950,1
99,548,52,1
99,548,60,1
99,548,85,2
99,548,133,1
99,548,234,1
99,548,238,1
